編號,股票代碼,股票名稱,現股價值,,,,,,,,,
53,3081,聯亞,2560,,,,,,,,,
54,00631L,元大台灣50正2,29.4,,,,,,,,,
55,3491,昇達科,1735,,,,,,,,,
56,6139,亞翔,710,,,,,,,,,
57,2892,第一金,27.8,,,,,,,,,
58,4919,新唐,165,,,,,,,,,
59,8043,蜜望實,115,,,,,,,,,
60,6239,力成,234,,,,,,,,,
61,6770,力積電,57.2,,,,,,,,,
62,1582,信錦,107.5,,,,,,,,,
63,2301,光寶科,203.5,,,,,,,,,
64,2376,技嘉,301,,,,,,,,,
65,2472,立隆電,255,,,,,,,,,
66,3665,貿聯-KY,1955,,,,,,,,,
67,8027,鈦昇,242,,,,,,,,,
68,8996,高力,997,,,,,,,,,
69,4916,事欣科,89.9,,,,,,,,,
70,3673,TPK-KY,72.7,,,,,,,,,
71,3357,臺慶科,231,,,,,,,,,
72,3653,健策,2950,,,,,,,,,
73,3533,嘉澤,2340,,,,,,,,,
74,2316,楠梓電,139.5,,,,,,,,,
75,5274,信驊,15500,,,,,,,,,
76,2412,中華電,139.5,,,,,,,,,
77,3042,晶技,147,,,,,,,,,
78,8112,至上,83.8,,,,,,,,,
79,2464,盟立,124,,,,,,,,,
80,1303,南亞,81,,,,,,,,,
81,6207,雷科,80.7,,,,,,,,,
82,6442,光聖,1765,,,,,,,,,
83,2367,燿華,63.1,,,,,,,,,
84,2360,致茂,2055,,,,,,,,,
85,2485,兆赫,70.2,,,,,,,,,
86,2489,瑞軒,42,,,,,,,,,
87,8358,金居,455,,,,,,,,,
88,6278,台表科,202,,,,,,,,,
89,6488,環球晶,636,,,,,,,,,
90,1802,台玻,63.6,,,,,,,,,
91,3008,大立光,3325,,,,,,,,,
92,7769,鴻勁,6880,,,,,,,,,
93,8096,擎亞,106,,,,,,,,,
94,6257,矽格,206.5,,,,,,,,,
95,6446,藥華藥,785,,,,,,,,,
96,2881,富邦金,96.2,,,,,,,,,
97,2049,上銀,356.5,,,,,,,,,
98,3529,力旺,3355,,,,,,,,,
99,5269,祥碩,1370,,,,,,,,,
100,3033,威健,51.3,,,,,,,,,
101,3231,緯創,133,,,,,,,,,
102,3324,雙鴻,938,,,,,,,,,
103,3264,欣銓,205.5,,,,,,,,,
104,3034,聯詠,470.5,,,,,,,,,
105,2492,華新科,241.5,,,,,,,,,
106,3374,精材,229,,,,,,,,,
107,00679B,元大美債20年,26.09,,,,,,,,,
108,3702,大聯大,119,,,,,,,,,
109,1785,光洋科,137.5,,,,,,,,,
110,2887,台新新光金,24.05,,,,,,,,,
111,6213,聯茂,231.5,,,,,,,,,
112,2409,友達,18.75,,,,,,,,,
113,919,群益台灣精選高息,25.95,,,,,,,,,
114,4749,新應材,992,,,,,,,,,
115,6451,訊芯-KY,482.5,,,,,,,,,
116,2027,大成鋼,41.3,,,,,,,,,
117,2357,華碩,639,,,,,,,,,
